HCH_012_179_000329	嘉靖中，以侍讀出為湖廣右參議，累擢國子祭酒，禮部右侍郎。
HCH_012_179_000330	馬汝驥，字仲房，綏德人。
HCH_012_179_000331	正德十二年進士。
HCH_012_179_000332	改庶吉士。
HCH_012_179_000333	偕芬等諫南巡，罰跪受杖。
HCH_012_179_000334	教習期滿，當授編修，特調澤州知州。
HCH_012_179_000335	懲王府人虐小民。
HCH_012_179_000336	比王有所屬，輒投其書櫝中不視。
HCH_012_179_000337	陵川知縣貪，汝驥欲黜之。
HCH_012_179_000338	巡按御史為曲解，汝驥不聽，竟褫其官。
HCH_012_179_000339	世宗立，召復編修，尋錄直諫功，增秩一等。
HCH_012_179_000340	預修《武宗實錄》，進修撰。
HCH_012_179_000341	歷兩京國子司業，擢南京右通政，就改國子祭酒，召拜禮部右侍郎。
HCH_012_179_000342	尚書嚴嵩愛重汝驥，入閣稱之，帝特加侍讀學士。
HCH_012_179_000343	汝驥行己峭厲，然性故和易，人望歸焉。
