HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000500	又東北有丹山，一名丸山，西丹河及白狼水出焉。
HCH_012_041_000501	安丘府東南。
HCH_012_041_000502	元屬密州。
HCH_012_041_000503	洪武二年七月，州廢，屬府。
HCH_012_041_000504	西南有牟山，又有峿山。
HCH_012_041_000505	又東北有岞山。
HCH_012_041_000506	東有濰水，下流經濰縣入海。
HCH_012_041_000507	又北有汶水，源亦出沂山，下流合濰水。
HCH_012_041_000508	諸城府東南。
HCH_012_041_000509	元爲密州治，屬益都路。
HCH_012_041_000510	洪武二年七月，州廢，屬府。
HCH_012_041_000511	東南有琅邪山。
HCH_012_041_000512	西南有常山，又有馬耳山。
HCH_012_041_000513	北有濰水，東北有盧水，流合焉。
HCH_012_041_000514	南有信陽鎮巡檢司。
HCH_012_041_000515	又南有南龍灣海口巡檢司。
HCH_012_041_000516	蒙陰府西南。
HCH_012_041_000517	元屬莒州。
HCH_012_041_000518	洪武二年七月改屬府。
HCH_012_041_000519	南有蒙陰山。
HCH_012_041_000520	東有長山，有蒙水，北流入沂水。
HCH_012_041_000521	東南有紫荊關巡檢司。
HCH_012_041_000522	萬曆間廢。
HCH_012_041_000523	莒州元屬益都路。
HCH_012_041_000524	洪武初，以州治莒縣省入。
HCH_012_041_000525	西有浮來山。
HCH_012_041_000526	又西北有箕屋山，濰水出焉。
HCH_012_041_000527	又西南有沭水，流入沂州界。
HCH_012_041_000528	南有十字路、西南有葛溝店二巡檢司。
HCH_012_041_000529	北距府二百里。
HCH_012_041_000530	領縣二：沂水州西北。
