HCH_012_154_000391	邱溫被圍，麒與颙猶帥疲卒固守，城陷皆死，無一降者。
HCH_012_154_000392	易先，湘陰人。
HCH_012_154_000393	以國子生授諒山知府，有善政。
HCH_012_154_000394	歲滿還朝，郡人乞留。
HCH_012_154_000395	詔進秩三品還任。
HCH_012_154_000396	賊破諒山，先自縊死。
HCH_012_154_000397	周安以指揮僉事守備乂安。
HCH_012_154_000398	黎利勢張，都督蔡福以芻糧將盡，退就東關。
HCH_012_154_000399	既行，千戶包宣以其眾詣賊降。
HCH_012_154_000400	安等至富良江為賊所蹙，俱陷賊。
HCH_012_154_000401	賊逼蔡福詣諸城說降。
HCH_012_154_000402	安憤甚，潛與眾謀，俟官軍至為內應。
HCH_012_154_000403	包宣之，以告利。
HCH_012_154_000404	利收安，將殺之，安曰：「吾天朝臣子，豈死賊手！」
