HCH_012_155_000380	亮善騎射，每戰身先士卒，所向克捷，時稱驍將。
HCH_012_155_000381	為伯三年卒。
HCH_012_155_000382	謚榮毅。
HCH_012_155_000383	蔣貴，字大富，江都人。
HCH_012_155_000384	以燕山衛卒從成祖起兵。
HCH_012_155_000385	雄偉多力，善騎射，積功至昌國衛指揮同知。
HCH_012_155_000386	從大軍征交阯及沙漠，遷都指揮僉事，掌彭城衛事。
HCH_012_155_000387	宣德二年，四川松潘諸番叛，充右參將，從總兵官陳懷討之。
HCH_012_155_000388	募鄉導，絕險而進，薄其巢。
HCH_012_155_000389	一日十數戰，大敗之。
HCH_012_155_000390	進都指揮同知，鎮守密雲。
HCH_012_155_000391	七年復命為參將，佐懷鎮松潘。
HCH_012_155_000392	明年進都督僉事，充副總兵，協方政鎮守。
HCH_012_155_000393	又明年，諸番復叛，政等分道進討。
HCH_012_155_000394	貴督兵四千，攻破任昌大寨。
HCH_012_155_000395	會都指揮趙得、宮聚兵以次討平龍溪等三十七寨，斬首一千七百級，投崖墜水死者無算。
HCH_012_155_000396	捷聞，進都督同知，充總兵官，佩平蠻將軍印，代政鎮守。
HCH_012_155_000397	英宗即位，以所統皆極邊地，奏增軍士月糧。
HCH_012_155_000398	正統元年召還，為右都督。
HCH_012_155_000399	阿臺寇甘、涼，邊將告急。
HCH_012_155_000400	命佩平虜將軍印，帥師討之。
HCH_012_155_000401	賊犯莊浪，都指揮江源戰死，亡士卒百四十餘人。
HCH_012_155_000402	侍郎徐晞劾貴，朝議以貴方選軍甘州，勢不相及。
HCH_012_155_000403	而莊浪及晞所統，責晞委罪。
HCH_012_155_000404	置貴不問。
HCH_012_155_000405	明年春，諜報敵駐賀蘭山後。
HCH_012_155_000406	詔大同總兵官方政、都指揮楊洪出大同迤西，貴與都督趙安出涼州塞會剿。
HCH_012_155_000407	貴至魚兒海子，都指揮安敬言前途無水草，引還。
HCH_012_155_000408	鎮守陜西都御史陳鎰言狀，尚書王驥出理邊務，斬敬，責貴立功。
HCH_012_155_000409	貴感奮，會朵兒只伯懼罪，連遣使入貢，敵勢稍弱。
HCH_012_155_000410	貴帥輕騎敗之於狼山，追抵石城。
HCH_012_155_000411	已，聞朵兒只伯依阿臺於兀魯乃地，貴將二千五百人為前鋒往襲。
HCH_012_155_000412	副將李安沮之，貴拔劍厲聲叱安曰：「敢阻軍者死！」
HCH_012_155_000413	遂出鎮夷。
HCH_012_155_000414	間道疾馳三日夜，抵其巢。
HCH_012_155_000415	阿臺方牧馬，貴猝入馬群，令士卒以鞭擊弓韣驚馬，馬盡佚。
HCH_012_155_000416	敵失馬，挽弓步鬥。
HCH_012_155_000417	貴縱騎蹂擊，指揮毛哈阿奮入其陣，大敗之。
