HCH_009_054_000211	既而御史張升卿言：「進士中下甲及第人、及監官至明威當入縣丞主簿，而三事以下減一資歷注下令，四事減注中令，令皆七品也，若複八品矣。輕重相戾，宜更定之。」
HCH_009_054_000212	遂定制，自今四事以下如前條，六事完者，進士中下甲及第、監官當入縣丞主簿人，減三資歷，注上令。
HCH_009_054_000213	餘出身者亦同此。
HCH_009_054_000214	任二十月以上，雖未秩滿，若以理去官，六事之跡已經覆察，論升如秩滿例。
HCH_009_054_000215	五年，以舉官或私其親，或徇於請求，或謬於鑒裁而妄舉，數歲之間以濫去者九十餘人，乃罷辟舉縣令之制。
HCH_009_054_000216	至哀宗正大元年，乃立法，命監察御史、司農司官，先訪察隨朝七品、外路六品以上官，清慎明潔可為舉主者，然後移文使舉所知，仍以六事課殿最，而升黜舉主。
HCH_009_054_000217	故舉主既為之盡心，而被舉者亦為之盡力。
HCH_009_054_000218	是時雖迫危亡，而縣令號為得人，由作法有足取雲。
HCH_009_054_000219	功酬虧永之制。
HCH_009_054_000220	凡諸提點院務官，三十月遷一官，周歲為滿，止取無虧月日用之。
HCH_009_054_000221	大定四年，定制，一任內虧一分以上降五人，二分以上降十人，三分以上降十五人，若有增羨則依此升遷，其升降不盡之數，于後任充折。
HCH_009_054_000222	二十一年，以舊制監當官並責決，而不顧廉恥之人，以謂已決即得赴調，不以刑罰為畏。
HCH_009_054_000223	擬自今，若虧永及一酬以上，依格追官殿一年外，虧永不及酬者，亦殿一年。
HCH_009_054_000224	章宗大定二十九年，罷年遷之法，更定制，比永課增及一酬遷一官，兩酬遷兩官，如虧課則削亦如之，各兩官止。
HCH_009_054_000225	又罷使司小都監與使副一體論增虧者，及罷餘前升降不盡之數後任充折之制。
HCH_009_054_000226	泰和元年，制犯選及虧永者，右職漢人至宣武將軍從五品、女直至廣威將軍正五品，方注縣令。
HCH_009_054_000227	又吏格，曾犯選及虧永者，女直至武義從六，漢人及諸色人至武略從六，皆注諸司，亦兩除一差，至明威方注丞簿。
HCH_009_054_000228	貞祐三年，制曾虧永、犯選者，遷至宣武，注諸司，至懷遠從四下，方注丞簿，至安遠從四上，注下令。
HCH_009_054_000229	正大元年，制曾犯選、曾虧永者，至廣威與諸司、兩除一差，至安遠注丞簿，三任，其至鎮國從三品下，方注下令。
HCH_009_054_000230	群牧官三周歲為滿，所牧之畜以十為率，駝增二頭，馬增二匹，牛亦如之，羊增四口，而大馬百死十五匹者，及能征前官所虧，三分為率，能盡征及征二分半以上，為上等，升一品級。
HCH_009_054_000231	駝增一，馬牛增二，羊增三，大馬百死二十五，征前官所虧二分以上，為中等，約量升除。
HCH_009_054_000232	駝不增，馬牛增一，羊增二，大馬百死三十，征虧一分以上，為下等，依本等除。
HCH_009_054_000233	餘畜皆依元數，而大馬百死四十，征虧不及一分者，降一等。
HCH_009_054_000234	此明昌四年制也。
HCH_009_054_000235	五年，制馬牛羊虧元數十之一，騬馬百死四十，征虧不及一分者，降一等，決四十。
HCH_009_054_000236	若駝馬牛羊虧元數一分、馬百死四十，征虧不得者，杖八十，降同前。
