HCH_015_027_000267	給鼓吹置佐。
HCH_015_027_000268	建武元年，遷持節、都督南兖兖徐青冀五州軍事、平北將軍、南兖州刺史，轉護軍將軍，加散騎常侍。
HCH_015_027_000269	四年，卒，年七十二。
HCH_015_027_000270	贈安北將軍、雍州刺史。
HCH_015_027_000271	諡曰壯侯。
HCH_015_027_000272	同族王文和，宋鎮北大將軍仲德兄孫也。
HCH_015_027_000273	景和中，為義陽王昶征北府主簿。
HCH_015_027_000274	昶于彭城奔虜，部曲皆散，文和獨送至界上。
HCH_015_027_000275	昶謂之曰：「諸人皆去，卿有老母，何不去邪！」
HCH_015_027_000276	文和乃去。
HCH_015_027_000277	昇明中，為巴陵內史。
HCH_015_027_000278	沈攸之事起，文和斬其使，馳白世祖告變，棄郡奔郢城。
HCH_015_027_000279	永明中，歷青、冀、兖、益四州刺史，平北將軍。
HCH_015_027_000280	史臣曰：宋氏將季，離亂日兆，家懷逐鹿，人有異圖。
HCH_015_027_000281	故蕃岳阻兵之機，州郡觀釁之會。
HCH_015_027_000282	此數子皆宿將舊勛，與太祖比肩為方伯，年位高下，或為先輩，而薦誠君側，奉義萬里。
HCH_015_027_000283	以此知樂推之非妄，信民心之有歸。
HCH_015_027_000284	玄載兄弟門從，世秉誠烈，不為道家所忌，斯今之耿氏也。
HCH_015_027_000285	贊曰：霄城報馬，分義先推。
HCH_015_027_000286	靈哲守讓，方軌丁、韋。
HCH_015_027_000287	李佐東土，謀發天機。
HCH_015_027_000288	王為清政，其風不衰。
HCH_015_027_000289	玄邈簡朕，早背同歸。
HCH_015_027_000290	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
