HCH_012_047_000317	二十一年更定，每壇犢羊豕各一。
HCH_012_047_000318	功臣配位，洪武二年定，每位羊豕體各一。
HCH_012_047_000319	二十一年更定，每壇羊豕一。
HCH_012_047_000320	太社稷，犢羊豕各一，配位同。
HCH_012_047_000321	府州縣社稷，正配位，共羊一、豕一。
HCH_012_047_000322	洪武七年增設，各羊一、豕一。
HCH_012_047_000323	朝日、夕月，犢羊豕各一。
HCH_012_047_000324	先農與太社稷同。
HCH_012_047_000325	神祇，洪武二年定，羊六、豕六。
HCH_012_047_000326	二十一年更定，每壇犢羊豕各一。
HCH_012_047_000327	嘉靖十年，天神左，地祇右，各牲五。
HCH_012_047_000328	星辰，每壇羊一、豕一。
HCH_012_047_000329	帝王，每室犢羊豕各一。
HCH_012_047_000330	配位，每壇羊豕各一。
HCH_012_047_000331	先師如帝王，四配如配位，十哲東西各豕一分五，兩廡東西各豕一，後增爲三。
HCH_012_047_000332	府州縣學先師，羊一、豕一。
HCH_012_047_000333	四配。
HCH_012_047_000334	共羊一、豕一，解爲四體。
HCH_012_047_000335	十哲東西各豕一，解爲五體。
HCH_012_047_000336	兩廡豕一，解爲百八分。
HCH_012_047_000337	旗纛，洪武九年定犢羊豕，永樂後，去犢。
HCH_012_047_000338	王國及衛所同。
HCH_012_047_000339	五祀馬神俱用羊豕。
HCH_012_047_000340	南北郊，祝板長一尺一分，廣八寸，厚二分，用楸梓木。
HCH_012_047_000341	宗廟，長一尺二寸，廣九寸，厚一，用梓木，以楮紙冒之。
HCH_012_047_000342	羣神帝王先師，俱有祝，文多不載。
HCH_012_047_000343	祝案設於西。
HCH_012_047_000344	凡籩豆之實，用十二者，籩實以形鹽、ＡＫ魚、棗、慄、榛、菱、芡、鹿脯、白餅、黑餅、糗餌、粉餈。
HCH_012_047_000345	豆實以韭菹、醯醢，菁菹、鹿醢、芹菹、兔醢、筍菹、魚醢、脾析、豚胉、赩食、糝食。
HCH_012_047_000346	用十者，籩則減糗餌、粉餈，豆則減赩食、糝食。
HCH_012_047_000347	用八者，籩又減白、黑餅，豆又減脾析、豚胉。
HCH_012_047_000348	用四者，籩則止實以形鹽、ＡＫ魚、棗、慄，豆則止實以芹菹、兔醢、菁菹、鹿醢。
