HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000429	東北距府二百里。
HCH_012_041_000430	領縣三：範州東北。
HCH_012_041_000431	洪武三年三月省，尋復置。
HCH_012_041_000432	東南有故城，洪武二十五年圮於河，始遷今治。
HCH_012_041_000433	又東南有水保寨巡檢司。
HCH_012_041_000434	觀城州西北。
HCH_012_041_000435	洪武三年三月省，尋復置。
HCH_012_041_000436	又東有馬頰河，有黑羊山水自西北流入焉。
HCH_012_041_000437	朝城州北。
HCH_012_041_000438	洪武三年三月省，尋復置。
HCH_012_041_000439	西南有故漯河。
HCH_012_041_000440	青州府元益都路，屬山東東西道宣慰司。
HCH_012_041_000441	太祖吳元年爲青州府。
HCH_012_041_000442	領州一，縣十三。
HCH_012_041_000443	西距布政司三百二十里。
HCH_012_041_000444	益都倚。
HCH_012_041_000445	洪武三年四月建齊王府，永樂四年廢。
HCH_012_041_000446	十三年建漢王府，十五年遷於樂安。
HCH_012_041_000447	成化二十三年建衡王府。
HCH_012_041_000448	南有云門山，與劈山連。
HCH_012_041_000449	西北有堯山。
HCH_012_041_000450	又西有九回山，北陽水出焉，亦曰澠水，經治嶺山麓，曰五龍口，下流經樂安縣，入巨澱。
HCH_012_041_000451	又有南陽水，源出縣西南石膏山，流經城北，又東北合北陽水。
HCH_012_041_000452	又西有淄水，下流至壽光入海。
HCH_012_041_000453	又西南有顏神鎮，孝婦河出焉，入淄川縣界。
HCH_012_041_000454	有顏神鎮巡檢司，嘉靖三十七年築城。
HCH_012_041_000455	鎮西南有青石關。
HCH_012_041_000456	臨淄府西北。
HCH_012_041_000457	南有牛山。
HCH_012_041_000458	又有鼎足山，女水出焉，下流合北陽水。
HCH_012_041_000459	又有蒨山。
HCH_012_041_000460	又有南郊山，其下爲天齊淵。
HCH_012_041_000461	城東有淄水，又西有澠水，又有系水，下流俱入時水。
HCH_012_041_000462	其時水自西南而東北，亦曰耏水，又有澅水流入焉，下流俱至樂安縣入海。
HCH_012_041_000463	南有淄河店巡檢司，後廢。
HCH_012_041_000464	博興府西北。
HCH_012_041_000465	元博興州。
HCH_012_041_000466	洪武二年降爲縣。
HCH_012_041_000467	南有小清河，有時水。
HCH_012_041_000468	高苑府西北。
HCH_012_041_000469	東南有商山。
HCH_012_041_000470	西南有小清河。
HCH_012_041_000471	西北有田鎮巡檢司。
HCH_012_041_000472	後廢。
HCH_012_041_000473	樂安府北。
HCH_012_041_000474	東北濱海，有鹽場。
HCH_012_041_000475	北有小清河。
HCH_012_041_000476	東有時水。
HCH_012_041_000477	又東南有淄水，又有北陽水，又有巨洋水，俱匯流於縣東北之高家港入海。
HCH_012_041_000478	港即古之馬車瀆也。
HCH_012_041_000479	有高家港巡檢司。
HCH_012_041_000480	又西北有樂安鎮巡檢司。
HCH_012_041_000481	又東北有塘頭寨，有百戶所駐焉。
HCH_012_041_000482	壽光府東北。
HCH_012_041_000483	北濱海，有鹽場。
HCH_012_041_000484	西有淄水，又有北陽水。
HCH_012_041_000485	又東有巨洋水。
HCH_012_041_000486	又西北有清水泊，即古之鉅定湖也，其北接樂安縣之高家港。
HCH_012_041_000487	又東北有廣陵鎮巡檢司。
HCH_012_041_000488	昌樂府東。
HCH_012_041_000489	元屬濰州，尋省，後復置，仍屬濰州。
HCH_012_041_000490	洪武初，改屬。
HCH_012_041_000491	西北有故城。
HCH_012_041_000492	洪武中，徙於今治。
HCH_012_041_000493	東南有方山，東丹水所出，北徑昌樂故城，西丹水流合焉，下流至壽光縣入於海。
HCH_012_041_000494	又南有白狼水，至濰縣入海。
HCH_012_041_000495	臨朐府東。
HCH_012_041_000496	南有朐山，又有大峴山，上有穆陵關巡檢司。
HCH_012_041_000497	又東有沂山，一名東泰山，沭水、瀰水俱發源於此。
HCH_012_041_000498	瀰水，一名巨洋水，西合石溝水，至壽光入海。
HCH_012_041_000499	又東北有丹山，一名丸山，西丹河及白狼水出焉。
HCH_012_041_000500	安丘府東南。
HCH_012_041_000501	元屬密州。
HCH_012_041_000502	洪武二年七月，州廢，屬府。
HCH_012_041_000503	西南有牟山，又有峿山。
HCH_012_041_000504	又東北有岞山。
HCH_012_041_000505	東有濰水，下流經濰縣入海。
HCH_012_041_000506	又北有汶水，源亦出沂山，下流合濰水。
HCH_012_041_000507	諸城府東南。
HCH_012_041_000508	元爲密州治，屬益都路。
HCH_012_041_000509	洪武二年七月，州廢，屬府。
HCH_012_041_000510	東南有琅邪山。
HCH_012_041_000511	西南有常山，又有馬耳山。
