HCH_009_011_000287	壬寅，敕有司：「購遺書宜尚其價，以廣搜訪。藏書之家有珍惜不願送官者，官為謄寫。畢復還之，仍量給其直之半。」
HCH_009_011_000288	甲辰，以刑部員外郎完顏綱為夏國生日使。
HCH_009_011_000289	十一月庚戌，司空襄以下文武百官復請上尊號。
HCH_009_011_000290	不許。
HCH_009_011_000291	辛亥，敕尚書省：「凡役眾勞民之事，勿輕行之。」
HCH_009_011_000292	丁巳，諭工部曰：「比聞懷州有橙結實，官吏檢視，已嘗擾民，今復進柑，得無重擾民乎？其誡所司，遇有則進，無則已。」
HCH_009_011_000293	庚申，以殿前右衛將軍紇石烈七斤等為賀宋正旦使。
HCH_009_011_000294	十二月辛巳，敕改原廟春秋祭祀稱朝獻。
HCH_009_011_000295	司空襄以下復請上尊號。
HCH_009_011_000296	詔不允，仍斷來章。
HCH_009_011_000297	丁酉，司空襄等進《新定律令敕條格式》五十二卷。
HCH_009_011_000298	辛丑，詔頒行之。
HCH_009_011_000299	壬寅，獵於近郊。
HCH_009_011_000300	乙巳，初定廉能官升注格。
HCH_009_011_000301	二年春正月丁未朔，宋、高麗、夏遣使來賀。
HCH_009_011_000302	乙卯，始朝獻于衍慶宮。
HCH_009_011_000303	庚申，幸芳苑觀燈。
HCH_009_011_000304	癸酉，歸德軍節度副使韓琛以強市民布帛，削一官，罷之。
HCH_009_011_000305	甲戌，如建春宮。
HCH_009_011_000306	二月戊戌，初置內侍寄祿官。
HCH_009_011_000307	乙巳，還宮。
HCH_009_011_000308	三月甲寅，初置宮苑司都、同監各一人。
HCH_009_011_000309	甲子，蔡王從彝母充等太師卒，詔有司定喪禮葬儀，事載《從彝傅》。
HCH_009_011_000310	四月庚辰，幸升國長公主第問疾。
HCH_009_011_000311	己亥，定遷三品官格。
HCH_009_011_000312	複撲買河濼法。
HCH_009_011_000313	辛丑，諭御史台，諸訴事於台，當以實上聞，不得輒稱察知。
HCH_009_011_000314	癸卯，如萬甯宮。
HCH_009_011_000315	命有司祈雨。
HCH_009_011_000316	五月甲辰朔，日有食之。
HCH_009_011_000317	戊申，如泰和宮。
HCH_009_011_000318	辛亥，初薦新於太廟。
HCH_009_011_000319	壬戌，諭有司曰：「金井捺缽不過二三日留，朕之所止，一涼廈足矣。若加修治，徒費人力。其籓籬不急處，用圍幕可也。」
HCH_009_011_000320	甲子，更泰和宮曰慶甯，長樂川曰雲龍。
HCH_009_011_000321	己巳，敕御史台，京師拜廟及巡幸所過州縣，止令灑掃，不得以黃土覆道，違者糾之。
HCH_009_011_000322	六月辛卯，諭尚書省，諸路禾稼及雨多寡，令州郡以聞。
HCH_009_011_000323	七月辛亥，有司奏還宮日請用黃麾仗。
HCH_009_011_000324	不許。
HCH_009_011_000325	乙卯，朝獻于衍慶宮。
HCH_009_011_000326	八月丙申，鳳凰見於磁州武安縣鼓山石聖台。
HCH_009_011_000327	丁酉，還宮。
HCH_009_011_000328	皇太生。
HCH_009_011_000329	九月壬寅朔，天壽節，宋、高麗、夏遣使來賀。
HCH_009_011_000330	甲寅，以拱衛直都指揮使完顏瑭等為賀宋生日使，且戒之曰：「兩國和好久矣，不宜爭細故，傷大體。」
HCH_009_011_000331	癸亥，以皇子生，親謝南北郊。
HCH_009_011_000332	庚午，封皇子為葛王。
HCH_009_011_000333	冬十月戊寅，報謝于太廟及山陵。
HCH_009_011_000334	甲申，以鳳凰見，詔中外。
HCH_009_011_000335	丙戌，獵近郊。
HCH_009_011_000336	壬辰，遣尚輦局副使李仲元為高麗國生日使。
HCH_009_011_000337	以宿直將軍紇石烈毅為夏國生日使，瀛王府司馬獨吉溫為橫賜使。
HCH_009_011_000338	十一月甲辰，更定德運為土，臘用辰。
HCH_009_011_000339	以西京留守宗浩為樞密使。
HCH_009_011_000340	戊申，以更定德運，詔中外。
HCH_009_011_000341	庚申，初命外官三品到任進表稱謝。
HCH_009_011_000342	甲子，幸玉虛觀，遣使報謝于太清宮。
HCH_009_011_000343	十二月癸酉，以皇子晬日，放僧道戒牒三千。
HCH_009_011_000344	以武安軍節度使徒單公弼等為賀宋正旦使。
HCH_009_011_000345	戊寅，冬獵。
HCH_009_011_000346	庚辰，報謝于高禖。
HCH_009_011_000347	丁酉，還都。
HCH_009_011_000348	閏月庚戌，司空襄薨。
HCH_009_011_000349	癸丑，初命監察御史非特旨不許舉官。
HCH_009_011_000350	辛酉，遣使報謝於北嶽。
HCH_009_011_000351	定人戶物力隨時推收法。
HCH_009_011_000352	丁卯，遣使報謝於長白山。
HCH_009_011_000353	冬，無雪。
HCH_009_011_000354	三年春正月辛未朔，宋、高麗、夏遣使來賀。
HCH_009_011_000355	癸酉，遣官祈雪於北嶽。
HCH_009_011_000356	丁丑，朝獻于衍慶宮。
HCH_009_011_000357	己卯，以樞密使宗浩為尚書右丞相，右丞完顏匡為左丞，參知政事僕散揆為右丞，御史中丞孫即康、刑部尚書賈鉉並為參知政事。
HCH_009_011_000358	庚辰，如建春宮。
HCH_009_011_000359	二月癸丑，還宮。
HCH_009_011_000360	甲子，定諸職官省親拜墓給假例。
HCH_009_011_000361	三月壬申，平章政事張萬公致仕。
HCH_009_011_000362	庚辰，如萬甯宮。
HCH_009_011_000363	丁亥，定從人銅牌賣毀罪賞制。
HCH_009_011_000364	庚寅，定職官應遷三品格，刺史以上及隨朝資歷在刺史以上身故者，每半年一次敷奏。
HCH_009_011_000365	甲午，如玉泉山。
HCH_009_011_000366	丙申，以殿前都點檢僕散端為御史大夫。
HCH_009_011_000367	四月乙巳，禘於太廟。
