HCH_012_189_000214	伏望上告宗廟，請命太后，旁諏大臣，擇宗室親賢者一人養于宮中，以系四海之望。
HCH_012_189_000215	他日誕生皇子，仍俾出籓，實宗社無疆之福也。
HCH_012_189_000216	員外郎陸震草疏將諫，見鞏疏稱歎，因毀己稿，與鞏連署以進。
HCH_012_189_000217	帝怒甚，下二人詔獄，復跪午門。
HCH_012_189_000218	眾謂天子且出，鞏曰：「天子出，吾當牽裾死之。」
HCH_012_189_000219	跪五日，期滿，仍繫獄。
HCH_012_189_000220	越二十餘日，廷杖五十，斥為民。
HCH_012_189_000221	彬使人沿途刺鞏，有治洪主事知而匿之，間行得脫。
HCH_012_189_000222	既歸，潛心著述。
HCH_012_189_000223	或米盡，日中未爨，晏如也。
HCH_012_189_000224	嘗歎曰：「人生至公卿富貴矣，然不過三四十年。惟立身行道，千載不朽。世人顧往往以此易彼，何也？」
HCH_012_189_000225	世宗立，召為南京大理丞。
HCH_012_189_000226	疏請稽古正學，敬天勤民，取則堯、舜，保全君子，辯別小人。
HCH_012_189_000227	明年入賀，卒于京師。
HCH_012_189_000228	行人張岳訟其直節，贈大理少卿，賜祭葬。
HCH_012_189_000229	天啟初，追諡忠裕。
HCH_012_189_000230	陸震，字汝亭，蘭溪人。
HCH_012_189_000231	受業同縣章懋，以學行知名。
HCH_012_189_000232	正德三年進士。
HCH_012_189_000233	除泰和知縣。
HCH_012_189_000234	時劉瑾擅政。
HCH_012_189_000235	以逋鹽課責縣民償者連數百人，震力白之上官，得免。
HCH_012_189_000236	鎮守中官歲征貢絺，為減其額。
HCH_012_189_000237	增築學舍居諸生，毀淫祠祀忠節。
HCH_012_189_000238	浮糧累民，稽賦籍，得詭寄隱匿者萬五千石以補之。
HCH_012_189_000239	建倉縣左，儲穀待振。
HCH_012_189_000240	親行鄉落，勸課農桑。
HCH_012_189_000241	立保伍法，使民備盜。
HCH_012_189_000242	甓城七里，外為土城十里周之。
HCH_012_189_000243	時發狼兵討賊，所至擾民。
HCH_012_189_000244	震言于總督，令毋聽檥舟，官具糧糗，以次續食，兵行肅然。
HCH_012_189_000245	督捕永豐、新淦賊，以功受賞。
HCH_012_189_000246	撫按交薦，征為兵部主事。
HCH_012_189_000247	泰和人生祠之。
HCH_012_189_000248	在部，主諸司章奏，與中人忤，改巡紫荊諸關。
HCH_012_189_000249	又以論都御史彭澤、副使胡世寧無罪，忤尚書王瓊、陸完。
HCH_012_189_000250	孝貞皇后崩，武宗至自宣府。
HCH_012_189_000251	既發喪數日，復欲北出。
HCH_012_189_000252	震抗疏曰：「日者，昊天不吊，威降大戚。車駕在狩，群情惶惶。陛下單騎沖雪還宮，百官有司莫不感愴，以為陛下前蔽而今明也。乃者梓宮在殯，遽擬遊巡，臣知陛下之心必有蹙然不安者。且陛下即位十有二年矣，十者幹之終，十有二者支之終。當氣運周會，正修德更新時，顧乃營宣府以為居，縱騎射以為樂，此臣所深懼也。古人君車馬遊畋之好，雖或有之，至若以外為主，以家為客，挈天下大器、賞罰大柄付之於人，漠然不關意念，此古今所絕無者。伏望勉終喪制，深戒盤遊。」
HCH_012_189_000253	不報。
HCH_012_189_000254	進武選員外郎。
HCH_012_189_000255	已，偕黃鞏諫南巡，遂下詔獄。
HCH_012_189_000256	獄中與鞏講《易》九卦，明憂患之道。
HCH_012_189_000257	同系者率處分後事，震獨無一言。
HCH_012_189_000258	既杖，創甚，作書與諸子，「吾雖死，汝等當勉為忠孝。吾筆亂，神不亂也」，遂卒。
HCH_012_189_000259	世宗立，贈太常少卿。
HCH_012_189_000260	予祭。
HCH_012_189_000261	方震等繫獄，江彬必欲致之死，絕其飲食。
HCH_012_189_000262	震季子體仁，年十五，變服為他囚親屬，職納橐饘焉。
HCH_012_189_000263	後有詔錄一子官，諸兄讓體仁，為漳州通判，有政聲。
HCH_012_189_000264	孫可教，由進士曆南京禮部侍郎。
HCH_012_189_000265	夏良勝，字於中，南城人。
HCH_012_189_000266	少為督學副使蔡清所知，曰「子異日必為良臣，當無有勝子者」，遂名良勝。
HCH_012_189_000267	正德二年舉鄉試第一。
HCH_012_189_000268	明年，成進士，授刑部主事，調吏部，進考功員外郎。
HCH_012_189_000269	南巡詔下，良勝具疏，與禮部主事萬潮、太常博士陳九川連署以進，言：「方今東南之禍，不獨江、淮；西北之憂，近在輦轂。廟祀之鬯位，不可以久虛；聖母之孝養，不可以恒曠。宮壺之孕祥，尚可以早圖；機務之繁重，未可以盡委。『鎮國』之號，傳聞海內，恐生覬覦之階；邊將之屬，納於禁近，詎忘肘腋之患。巡遊不已，臣等將不知死所矣。」
HCH_012_189_000270	時舒芬、黃鞏、陸震疏已前入。
HCH_012_189_000271	吏部郎中張衍瑞等十四人、刑部郎中陸俸等五十三人繼之，禮部郎中姜龍等十六人、兵部郎中孫鳳等十六人又繼之。
HCH_012_189_000272	而醫士徐鏊亦以其術諫，略言：「養身之道，猶置燭然，室閉之則堅，風暴之則淚。陛下輕萬乘，習嬉娛，躍馬操弓，捕魚玩獸。邇復不憚遠遊，冒寒暑，涉關河，饍飲不調，餚蔌無擇，誠非養生道也。況南方卑濕，尤易致病。乞念宗廟社稷之重，勿事鞍馬，勿過醉飽，喜無傷心，怒無傷肝，欲無傷腎，勞無傷脾，就密室之安，違暴風之禍。臣不勝至願。」
HCH_012_189_000273	諸疏既入，帝與諸幸臣皆大怒，遂下良勝、潮、九川、鞏、震、鏊詔獄，芬及衍瑞等百有七人罰跪午門外五日。
HCH_012_189_000274	而大理寺正周敘等十人，行人司副余廷瓚等二十人，工部主事林大輅、何遵、蔣山卿連名疏相繼上。
HCH_012_189_000275	帝益怒，並下詔獄。
HCH_012_189_000276	俄令敘、廷瓚、大輅等，與良勝等六人，俱跪闕下五日，加梏鋋焉。
HCH_012_189_000277	至晚，仍繫獄。
HCH_012_189_000278	諸臣晨入暮出，累累若重囚，道途觀者無不泣下。
HCH_012_189_000279	而廷臣自大學士楊廷和、戶部尚書石玠疏救外，莫有言者。
HCH_012_189_000280	士民鹹憤，爭擲瓦礫詬詈之。
HCH_012_189_000281	諸大臣皆恐，入朝不待辨色，請下詔禁言事者，通政司遂格不受疏。
HCH_012_189_000282	是時，天連曀晝晦，禁苑南海子水湧四尺餘，橋下七鐵柱皆折如斬。
HCH_012_189_000283	金吾衛都指揮僉事張英曰：「此變征也，駕出必不利。」
HCH_012_189_000284	乃肉袒戟刃於胸，囊土數升，持諫疏當蹕道跪哭，即自刺其胸，血流滿地。
HCH_012_189_000285	衛士奪其刃，縛送詔獄。
HCH_012_189_000286	問囊土何為？
HCH_012_189_000287	曰：「恐汙帝廷，灑土掩血耳。」
HCH_012_189_000288	詔杖之八十，遂死。
HCH_012_189_000289	芬等百有七人，跪既畢，杖各三十。
HCH_012_189_000290	以芬、衍瑞、俸、龍、鳳為倡首，謫於外。
HCH_012_189_000291	餘奪俸半歲。
HCH_012_189_000292	良勝等六人及敘、廷瓚、大輅各杖五十，餘三十人四十。
HCH_012_189_000293	鞏、震、良勝、潮、九川除名。
HCH_012_189_000294	他貶黜有差。
HCH_012_189_000295	鏊戍邊。
HCH_012_189_000296	而車駕亦不復出矣。
HCH_012_189_000297	良勝既歸，講授生徒。
HCH_012_189_000298	世宗立，召復故官。
HCH_012_189_000299	尚書喬宇賢之，奏為文選郎中，公廉多所振拔。
HCH_012_189_000300	「大禮」議起，數偕僚長力爭。
HCH_012_189_000301	及席書、張璁、桂萼、方獻夫用中旨超擢，又執不可。
HCH_012_189_000302	由是為議禮者所切齒。
HCH_012_189_000303	以久次遷南京太常少卿，未赴，外轉。
HCH_012_189_000304	給事中陳洸上書，傅會張璁等議，斥良勝與尚書宇等群結朋黨，任情擠排。
HCH_012_189_000305	遂謫良勝茶陵知州。
HCH_012_189_000306	及《明倫大典》成，詔責前郎中良勝脅持庶官，釀禍特深，黜為民。
HCH_012_189_000307	初，良勝輯其部中章奏，名曰《銓司存稿》，凡議禮諸疏具在。
HCH_012_189_000308	為仇家所發，再下獄。
HCH_012_189_000309	論杖當贖，特旨謫戍遼東三萬衛。
HCH_012_189_000310	逾五年，卒於戍所。
HCH_012_189_000311	穆宗立，贈太常卿。
HCH_012_189_000312	舒芬等自有傳。
HCH_012_189_000313	萬潮，字汝信，進賢人。
HCH_012_189_000314	正德六年進士。
HCH_012_189_000315	由甯國推官入為儀制主事，與芬、良勝、九川稱「江西四諫」。
HCH_012_189_000316	世宗立，起故官，曆浙江提學副使。
HCH_012_189_000317	久之遷參政，以忤權貴調廣西。
HCH_012_189_000318	屢遷陝西左布政使、右副都御史巡撫延綏，所至著聲。
HCH_012_189_000319	陳九川，字惟濬，臨川人。
HCH_012_189_000320	正德九年進士。
HCH_012_189_000321	從王守仁遊。
HCH_012_189_000322	尋授太常博士。
HCH_012_189_000323	既削籍，復從守仁卒業。
HCH_012_189_000324	世宗嗣位，召復故官，再遷主客郎中。
HCH_012_189_000325	正貢獻名物，節貢使犒賞費數萬。
