HCH_012_116_000338	時初設宗人府，以楨為右宗人。
HCH_012_116_000339	永樂初，進宗正。
HCH_012_116_000340	二十二年薨。
HCH_012_116_000341	子莊王孟烷嗣，敬慎好學。
HCH_012_116_000342	宣德中，平江伯陳瑄密奏：「湖廣，東南大籓，襟帶湖、湘，控引蠻越，人民蕃庶，商賈輻聚。楚設三護衛，自始封至今，生齒日繁，兵強國富，小人行險，或生邪心。請選其精銳，以轉漕為名，俟至京師，因而留之，可無後患。」
HCH_012_116_000343	帝曰：「楚無過，不可。」
HCH_012_116_000344	孟烷聞之懼。
HCH_012_116_000345	五年上書請納兩護衛，自留其一。
HCH_012_116_000346	帝勞而聽之。
HCH_012_116_000347	正統四年薨。
HCH_012_116_000348	子憲王季堄嗣。
HCH_012_116_000349	事母鄧妃至孝。
HCH_012_116_000350	英宗賜書獎諭。
HCH_012_116_000351	著《東平河間圖贊》，為士林所誦。
