HCH_012_296_000165	當寒夜月黑，悲風蕭瑟，鐸輒繞墓號曰：「兒在斯！兒在斯！」
HCH_012_296_000166	山深多虎，聞鐸哭聲避去。
HCH_012_296_000167	時稱真孝子。
HCH_012_296_000168	鐸初避寇慶元，從祖父母居故鄉者八人，貧不能自存，鐸悉迎養之。
HCH_012_296_000169	有姑年十八，夫亡守節，鐸養之終身。
HCH_012_296_000170	後有李茂者，澄城諸生也。
HCH_012_296_000171	母患惡瘡。
HCH_012_296_000172	茂日吮膿血，夜則叩天祈代。
HCH_012_296_000173	及卒，結廬墓旁，朝夕悲泣。
HCH_012_296_000174	天大雨，懼沖其墓，伏墓而哭，雨止乃已。
HCH_012_296_000175	父卒，廬墓如之。
HCH_012_296_000176	成化二生旌。
HCH_012_296_000177	二子表、森，森為國子生。
HCH_012_296_000178	茂卒，兄弟同廬於墓。
HCH_012_296_000179	弘治五年旌。
HCH_012_296_000180	表子俊亦國子生，表卒，俊方弱冠，廬墓終喪。
HCH_012_296_000181	母卒，亦如初。
HCH_012_296_000182	正德四年旌。
HCH_012_296_000183	崔敏，字好學，襄陵人。
HCH_012_296_000184	生四十日，其父仕元為綿竹尹，父子隔絕者三十年。
HCH_012_296_000185	敏依母兄以居。
HCH_012_296_000186	元季寇亂，母及兄俱相失。
HCH_012_296_000187	亂定，入陜尋母不得。
HCH_012_296_000188	由陜入川，抵綿竹，求父冢，無知者。
HCH_012_296_000189	復還陜，訪諸親故，始知父殯所在，乃啟攢負骸歸。
HCH_012_296_000190	時稱崔孝子。
HCH_012_296_000191	同時劉鎬，江西龍泉人。
HCH_012_296_000192	父允中，洪武五年舉人，官憑祥巡檢，卒於任。
HCH_012_296_000193	鎬以道遠家貧，不能返柩，居常悲泣。
HCH_012_296_000194	父友憐之，言於廣西監司，聘為臨桂訓導。
HCH_012_296_000195	尋假公事赴憑祥，莫知葬處。
HCH_012_296_000196	鎬晝夜環哭，一蒼頭故從其父，已轉入交址。
HCH_012_296_000197	忽暮至，若有憑之者，因得冢所在。
HCH_012_296_000198	刺血驗之良是，乃負歸葬。
HCH_012_296_000199	有顧琇者，字季粟，吳縣人。
HCH_012_296_000200	洪武初，父充軍鳳翔，母隨行，留琇守丘墓。
HCH_012_296_000201	越六年，母歿。
HCH_012_296_000202	琇奔赴，負母骨行數千里，寢則懸之屋梁，涉則戴之於頂。
HCH_012_296_000203	父釋歸卒。
HCH_012_296_000204	水漿不入口五日，不勝喪而死。
HCH_012_296_000205	周琬，江寧人。
HCH_012_296_000206	洪武時，父為滁州牧，坐罪論死。
HCH_012_296_000207	琬年十六，叩閽請代。
HCH_012_296_000208	帝疑受人教，命斬之，琬顏色不變。
HCH_012_296_000209	帝異之，命宥父死，謫戍邊。
HCH_012_296_000210	琬復請曰：「戍與斬，均死爾。父死，子安用生為，顧就死以贖父戍。」
HCH_012_296_000211	帝復怒，命縛赴市曹，琬色甚喜。
HCH_012_296_000212	帝察其誠，即赦之，親題御屏曰「孝子周琬。」
HCH_012_296_000213	尋授兵科給事中。
HCH_012_296_000214	同時子代父死者，更有虞宗濟、胡剛、陳圭。
HCH_012_296_000215	宗濟，字思訓，常熟人。
