HCH_010_038_000384	本高麗銅山縣地，渤海置銅山郡。
HCH_010_038_000385	地在漢候城縣北，渤海龍泉府南。
HCH_010_038_000386	地多山險，寇盜以爲淵藪，乃招平、營等州客戶數百，建城居之。
HCH_010_038_000387	初號郝里太保城，<二四>開泰八年置州。
HCH_010_038_000388	兵事屬北女直兵馬司。
HCH_010_038_000389	統縣一：咸平縣。
HCH_010_038_000390	唐安東都護，天寶中治營、平二州間，即此。
HCH_010_038_000391	太祖滅渤海，復置安東軍。
HCH_010_038_000392	開泰中置縣。
HCH_010_038_000393	信州，彰聖軍，下，節度。
HCH_010_038_000394	<二五>本越喜故城。
HCH_010_038_000395	渤海置懷遠府，今廢。
HCH_010_038_000396	聖宗以地鄰高麗，開泰初置州，以所俘漢民實之。
HCH_010_038_000397	兵事屬黃龍府都部署司。
HCH_010_038_000398	統州三，未詳；縣二：武昌縣。
HCH_010_038_000399	本渤海懷福縣地，析平州提轄司及豹山縣一千戶隸之。
HCH_010_038_000400	定武縣。
HCH_010_038_000401	本渤海豹山縣地，析平州提轄司並乳水縣人戶置。
HCH_010_038_000402	初名定功縣。
HCH_010_038_000403	賓州，懷化軍，節度。
HCH_010_038_000404	本渤海城。
HCH_010_038_000405	統和十七年，遷兀惹戶，置刺史于鴨子、混同二水之間，<二六>後升。
HCH_010_038_000406	兵事隸黃龍府都部署司。
HCH_010_038_000407	<二七>龍州，黃龍府。
HCH_010_038_000408	本渤海扶餘府。
HCH_010_038_000409	太祖平渤海還，至此崩，有黃龍見，更名。
HCH_010_038_000410	保寧七年，軍將燕頗叛，府廢。
HCH_010_038_000411	開泰九年，遷城于東北，以宗州、檀州漢戶一千復置。
HCH_010_038_000412	統州五、縣三：黃龍縣。
HCH_010_038_000413	本渤海長平縣，並富利、佐慕、肅慎置。
HCH_010_038_000414	遷民縣。
HCH_010_038_000415	本渤海永寧縣，並豐水、扶羅置。
HCH_010_038_000416	永平縣。
HCH_010_038_000417	渤海置。
HCH_010_038_000418	益州，觀察。
HCH_010_038_000419	屬黃龍府。
HCH_010_038_000420	統縣一：靜遠縣。
HCH_010_038_000421	安遠州，懷義軍，刺史。
HCH_010_038_000422	屬黃龍府。
HCH_010_038_000423	威州，武寧軍，刺史。
HCH_010_038_000424	屬黃龍府。
HCH_010_038_000425	清州，建寧軍，刺史。
HCH_010_038_000426	屬黃龍府。
HCH_010_038_000427	雍州，刺史。
HCH_010_038_000428	屬黃龍府。
HCH_010_038_000429	湖州，興利軍，刺史。
HCH_010_038_000430	渤海置。
HCH_010_038_000431	兵事隸東京統軍司。
HCH_010_038_000432	統縣一：長慶縣。
HCH_010_038_000433	渤州，清化軍，刺史。
HCH_010_038_000434	渤海置。
HCH_010_038_000435	兵事隸東京統軍司。
HCH_010_038_000436	統縣一：貢珍縣。
HCH_010_038_000437	渤海置。
HCH_010_038_000438	郢州，彰聖軍，刺史。
HCH_010_038_000439	渤海置。
HCH_010_038_000440	兵事隸北女直兵馬司。
HCH_010_038_000441	統縣一：延慶縣。
HCH_010_038_000442	銅州，廣利軍，刺史。
HCH_010_038_000443	渤海置。
