HCH_012_066_000305	青衣三章，織華蟲、火、宗彝。
HCH_012_066_000306	纁裳四章，織藻、粉米、黼、黻。
HCH_012_066_000307	素紗中單，青領襈，赤韍。
HCH_012_066_000308	革帶，佩白玉，玄組綬。
HCH_012_066_000309	綬紫質，用三採織成，間織三白玉環。
HCH_012_066_000310	白襪，赤舄。
HCH_012_066_000311	永樂三年更定，冕冠前後各八旒，每旒五采繅八就，貫三採玉珠八，赤、白、青色相次。
HCH_012_066_000312	玉圭長九寸。
HCH_012_066_000313	青衣三章，火在肩，華蟲、宗彝在兩袖，皆織成。
HCH_012_066_000314	本色領褾襪裾。
HCH_012_066_000315	其纁裳、玉佩、帶、綬之制，俱與親王同，第領織黻文減二。
HCH_012_066_000316	皮弁用烏紗冒之，前後各八縫，每縫綴三採玉八，餘制如親王。
HCH_012_066_000317	其圭佩、帶綬、襪舄如冕服內制。
HCH_012_066_000318	常服亦與親王同。
HCH_012_066_000319	嘉靖七年定保和冠服，以燕弁為準，用八𧚥，去簪玉，後山以一扇分畫為四，服與親王同。
HCH_012_066_000320	世子妃冠服：永樂三年定，與親王妃同，惟冠用七翟。
HCH_012_066_000321	郡王冠服：永樂三年定，冕冠前後各七旒，每旒五采繅七就，貫三採玉珠七。
HCH_012_066_000322	圭長九寸。
HCH_012_066_000323	青衣三章，粉米在肩，藻、宗彝在兩袖，皆織成。
HCH_012_066_000324	纁裳二章，織黼、黻各二。
HCH_012_066_000325	中單，領織黻文七，餘與親王世子同。
HCH_012_066_000326	皮弁，前後各七縫，每縫綴三採玉七，餘與親王世子同。
HCH_012_066_000327	其圭佩、帶綬、襪舄如冕服內制。
HCH_012_066_000328	常服亦與親王世子同。
HCH_012_066_000329	嘉靖七年定保和冠服，冠用七𧚥，服與親王世子同。
HCH_012_066_000330	郡王妃冠服：永樂三年定，冠用七翟，與親王世子妃同。
HCH_012_066_000331	其大衫、霞帔、燕居佩服之飾，俱同親王妃，第繡雲霞翟文，不用盤鳳文。
