HCH_009_017_000314	乙酉，以南陽郡王子思烈行尚書省于鄧州，召援兵。
HCH_009_017_000315	丙戌，拜天於大慶殿，詔白撒致仕。
HCH_009_017_000316	放京城四面軍，李辛不奉詔。
HCH_009_017_000317	丁亥，鑿洧川漕渠，尋罷之。
HCH_009_017_000318	馮延登以奉使有勞，授禮部侍郎。
HCH_009_017_000319	戊子，裕州鎮防軍將領賀都喜率西軍二千人入援，放遷民出京。
HCH_009_017_000320	辛卯，大寒如冬。
HCH_009_017_000321	密國公璹薨。
HCH_009_017_000322	汴京大疫，凡五十日，諸門出死者九十余萬人，貧不能葬者不在是數。
HCH_009_017_000323	癸巳，楊春入據亳州，觀察判官劉均死之。
HCH_009_017_000324	辛丑，上禦香合，面責宰相。
HCH_009_017_000325	乙巳，將相受保城爵賞。
HCH_009_017_000326	六月庚戌朔，詔百官舉大將，眾舉劉益，不能用。
HCH_009_017_000327	癸丑，飛虎軍二百人奪封丘門出奔。
HCH_009_017_000328	甲寅，以出師錮門禁。
HCH_009_017_000329	乙卯，白撒開渠於私第東。
HCH_009_017_000330	丙辰，閱官馬，擇瘠者殺以食。
HCH_009_017_000331	丁巳，封仙據徐州，徒單益都走宿州，推張興行省事。
HCH_009_017_000332	庚申，塞京城四門，以便守禦。
HCH_009_017_000333	壬戌，國安用入徐州，殺張興，推封仙為元帥，以主州事。
HCH_009_017_000334	己巳，詔贈禦侮中郎將完顏陳和尚鎮南軍節度使。
HCH_009_017_000335	立褒忠廟碑。
HCH_009_017_000336	權參知政事楊糸廷罷。
HCH_009_017_000337	辛未，複修汴城。
HCH_009_017_000338	以疫後，園戶、僧道、醫師、鬻棺者擅厚利，命有司倍征之，以助其用。
HCH_009_017_000339	甲戌，宿州鎮防千戶高臘哥、李宣殺節度使紇石烈阿虎父子，請行省徒單益都主帥事，益都不從，率其將吏西走，至穀熟遇大元軍，死之。
HCH_009_017_000340	乙亥，左丞李蹊送曹王與其子仝俱還。
HCH_009_017_000341	丁丑，恆山公武仙殺士人李汾。
HCH_009_017_000342	七月庚辰朔，兵刃有火。
HCH_009_017_000343	辛巳，軍士撾登聞鼓乞將劉益。
HCH_009_017_000344	癸未，尚書右丞顏盞世魯罷。
HCH_009_017_000345	吏部尚書完顏奴申為參知政事。
HCH_009_017_000346	甲申，飛虎軍士申福、蔡元擅殺北使唐慶等三十余人於館，詔貰其罪，和議遂絕。
HCH_009_017_000347	乙酉，都人揚言欲殺白撒，密詔遣衛士護其家。
HCH_009_017_000348	丙戌，軍士毀白撒別墅。
HCH_009_017_000349	斜撚阿不妄殺市人之過其門者以靖亂。
HCH_009_017_000350	丁亥，拜天于承天門下，出內府及兩宮物賜軍士。
HCH_009_017_000351	戊子，下令招軍。
HCH_009_017_000352	辛卯，簽民為兵。
HCH_009_017_000353	鞏昌民百二十人赴援。
HCH_009_017_000354	乙未，宿州帥眾僧奴稱國安用降，遣近侍直長因世英等持詔封安用為兗王，行京東等路尚書省事，賜姓完顏，改名用安。
