HCH_012_072_000287	照磨所，照磨一人，正八品。
HCH_012_072_000288	檢校一人，正九品。
HCH_012_072_000289	所轄寶鈔提舉司，提舉一人，正八品，副提舉一人。
HCH_012_072_000290	正九品，典史一人，後副提舉、典史俱革。
HCH_012_072_000291	鈔紙局，大使、副使各一人，後革副使。
HCH_012_072_000292	印鈔局，大使、副使各一人，後俱革。
HCH_012_072_000293	寶鈔廣惠庫，大使一人，正九品，副使二人，從九品，嘉靖中革。
HCH_012_072_000294	廣積庫，大使一人，正九品，副使一人，從九品，典史一人，嘉靖中，副使、典史俱革。
HCH_012_072_000295	贓罰庫，大使一人，正九品，副使二人，從九品，嘉靖中革。
HCH_012_072_000296	甲字、乙字、丙字、丁字、戊字形檔，大使五人，正九品，副使六人，從九品，丁字形檔二人，嘉靖中革一人，並革乙字、戊字二庫副使。
HCH_012_072_000297	廣盈庫，大使一人，從九品，副使二人。
HCH_012_072_000298	嘉靖中革。
HCH_012_072_000299	外承運庫，大使二人，正九品副使二人，從九品。
HCH_012_072_000300	後大使、副使俱革。
HCH_012_072_000301	承運庫，大使一人，正九品。
HCH_012_072_000302	副使一人，從九品。
HCH_012_072_000303	嘉靖中革。
HCH_012_072_000304	行用庫，大使、副使各一人，後俱革。
HCH_012_072_000305	太倉銀庫，大使、副使各一人。
HCH_012_072_000306	嘉靖中，革副使。
HCH_012_072_000307	御馬倉，大使一人，從九品，副使一人。
HCH_012_072_000308	軍儲倉，大使一人，從九品。
HCH_012_072_000309	副使一人，後大使、副使俱革。
HCH_012_072_000310	長安、東安、西安、北安門倉，各副使一人，東安門倉舊二人，萬曆八年革一人。
HCH_012_072_000311	張家灣鹽倉檢校批驗所，大使、副使各一人。
HCH_012_072_000312	隆慶六年並革。
HCH_012_072_000313	尚書，掌天下戶口、田賦之政令。
HCH_012_072_000314	侍郎貳之。
HCH_012_072_000315	稽版籍、歲會、賦役實徵之數，以下所司。
HCH_012_072_000316	十年攢黃冊，差其戶上下畸零之等，以周知其登耗。
HCH_012_072_000317	凡田土之侵佔、投獻、詭寄、影射有禁，人戶之隱漏、逃亡、朋充、花分有禁，繼嗣、婚姻不如令有禁。
HCH_012_072_000318	皆綜核而糾正之。
HCH_012_072_000319	天子耕耤，則尚書進耒耜。
HCH_012_072_000320	以墾荒業貧民，以佔籍附流民，以限田裁異端之民，以圖帳抑兼併之民，以樹藝課農官，以芻地給馬牧，以召佃盡地利，以銷豁清賠累，以撥給廣恩澤，以給除差優復，以鈔錠節賞賚，以讀法訓吏民，以權量和市糴，以時估平物價，以積貯之政恤民困，以山澤、陂池、關市、坑冶之政佐邦國，贍軍輸，以支兌、改兌之規利漕運，以蠲減、振貸、均糴、捕蝗之令憫災荒，以輸轉、屯種、糴買、召納之法實邊儲，以祿廩之制馭貴賤。
HCH_012_072_000321	洪武二十五年，重定內外文武官歲給祿俸之制。
HCH_012_072_000322	正一品，一千四十四石。
HCH_012_072_000323	從一品，八百八十八石。
HCH_012_072_000324	正二品，七百三十二石。
HCH_012_072_000325	從二品，五百七十六石。
HCH_012_072_000326	正三品，四百二十石。
HCH_012_072_000327	從三品，三百一十二石。
HCH_012_072_000328	正四品，二百八十八石。
HCH_012_072_000329	從四品，二百五十二石。
HCH_012_072_000330	正五品，一百九十二石。
HCH_012_072_000331	從五品，一百六十八石。
HCH_012_072_000332	正六品，一百二十石。
HCH_012_072_000333	從六品，九十六石。
HCH_012_072_000334	正七品，九十石。
HCH_012_072_000335	從七品，八十四石。
HCH_012_072_000336	正八品，七十八石。
HCH_012_072_000337	從八品，七十二石。
HCH_012_072_000338	正九品，六十六石。
HCH_012_072_000339	從九品，六十石。
HCH_012_072_000340	未入流，三十六石。
HCH_012_072_000341	俱米鈔本折兼支。
HCH_012_072_000342	十三司，各掌其分省之事，兼領所分兩京、直隸貢賦，及諸司、衛所祿俸，邊鎮糧餉，並各倉場鹽課、鈔關。
HCH_012_072_000343	浙江司帶管在京羽林右、留守左、龍虎、應天、龍驤、義勇右、康陵七衛，神機營。
HCH_012_072_000344	江西司帶管在京旗手、金吾前、金吾後、金吾左、濟陽五衛。
HCH_012_072_000345	湖廣司帶管國子監、教坊司，在京羽林前、通州、和陽、豹韜、永陵、昭陵六衛，及興都留守司。
HCH_012_072_000346	福建司帶管順天府，在京燕山左、武驤左、武驤右、驍騎右、虎賁右、留守後、武成中、茂陵八衛，五軍、巡捕、勇士、四衛各營，及北直隸永平、保定、河間、真定、順德、廣平、大名七府，延慶、保安二州，大寧都司、萬全都司，並北直隸所轄各衛所，山口、永盈、通濟各倉。
HCH_012_072_000347	山東司帶管在京錦衣、大寧中、大寧前三衛及遼東都司，兩淮、兩浙、長蘆、河東、山東、福建各鹽運司，四川、廣東、海北、雲南黑鹽井、白鹽井、安寧、五井各鹽課提舉司，陝西靈州鹽課司，江西南贛鹽稅。
HCH_012_072_000348	山西司帶管在京燕山前、鎮南、興武、永清左、永清右五衛，及宣府、大同、山西各鎮。
HCH_012_072_000349	河南司帶管在京府軍前、燕山右、大興左、裕陵四衛，牧馬千戶所及直隸潼關衛、蒲州千戶所。
HCH_012_072_000350	陝西司帶管宗人府、五軍都督府、六部、都察院、通政司、大理寺、詹事府、翰林院、太僕寺、鴻臚寺、尚寶司、六科、中書舍人、行人司、欽天監、太醫院、五城兵馬司、京衛武學、文思院、皮作局，在京留守右、長陵、獻陵、景陵四衛，神樞、隨侍二營，及延綏、寧夏、甘肅、固原各鎮。
HCH_012_072_000351	四川司帶管在京府軍後、金吾右、騰驤左、騰驤右、武德、神策、忠義後、武功中、武功左、武功右、彭城十一衛及應天府、南京四十九衛，南直隸安慶、蘇州、松江、常州、鎮江、徽州、甯國、池州、太平、廬州、鳳陽、淮安、揚州十三府，徐、滁、和、廣德四州，中都留守司並南直隸所轄各衛所。
HCH_012_072_000352	廣東司帶管在京羽林左、留守中、鷹揚、神武左、義勇前、義勇後六衛，蕃牧、奠靖二千戶所。
HCH_012_072_000353	廣西司帶管太常寺、光祿寺、神樂觀、犧牲所、司牲司、太倉銀庫、內府十庫，在京瀋陽左、瀋陽右、留守前、寬河、蔚州左五衛，及二十三馬房倉，各象房、牛房倉，京府各草場。
