HCH_009_079_000266	以侍郎張通古為詔諭江南使，遣倫先歸。
HCH_009_079_000267	明年，宋以倫為端明殿學士，簽書樞密院事，進金器千兩、銀器萬兩，複來請天水郡王喪柩，及請母韋氏兄弟宗族等。
HCH_009_079_000268	保信軍節度使藍公佐副之。
HCH_009_079_000269	是歲，宗磐、宗雋、撻懶皆以謀反屬吏，熙宗誅宗磐、宗雋，以撻懶屬尊，赦其死，以為行台尚書省事左丞相，奪其兵權。
HCH_009_079_000270	右副元帥宗弼奏曰：「撻懶、宗磐陰與宋人交通，遂以河南、陝西地與宋人。」
HCH_009_079_000271	會撻懶複謀反，捕而殺之于祁州。
HCH_009_079_000272	倫至上京，有司詳讀康王表文，不書年，閱進奉狀，稱禮物不言職貢，上使宰相責問倫曰：「汝但知有元帥，豈知有上國耶。」
HCH_009_079_000273	遂留不遣，遣其副藍公佐歸。
HCH_009_079_000274	三年五月，宗弼複取河南、陝西地，遂伐江南，已渡淮。
HCH_009_079_000275	皇統元年，宋人請和。
HCH_009_079_000276	二年二月，宋端明殿學士何鑄、容州觀察使曹勳進誓表。
HCH_009_079_000277	三月，遣左副點檢賽裏、山東西路都轉運使劉祹送天水郡王喪柩，及宋帝母韋氏還江南。
HCH_009_079_000278	五月，李正明、畢良史南歸。
HCH_009_079_000279	七月，硃弁、張邵、洪皓南歸。
HCH_009_079_000280	四年，以倫為平州路轉運使，倫已受命，複辭遜，上曰：「此反復之人也。」
HCH_009_079_000281	遂殺之於上京，年六十一。
HCH_009_079_000282	贊曰：孔子雲：「行己有恥，使于四方不辱君命，可謂士矣」。
HCH_009_079_000283	宇文虛中朝至上京，夕受官爵。
HCH_009_079_000284	王倫紈袴之子，市井為徒。
HCH_009_079_000285	此豈「行己有恥」之士，可以專使者耶？
HCH_009_079_000286	二子之死雖冤，其自取亦多矣。
