HCH_012_265_000291	居數日未得命，又請定、永二王分封太平、寧國二府，拱護兩京。
HCH_012_265_000292	帝得疏意動，繞殿行，且讀且嘆，將行其言。
HCH_012_265_000293	會帝召對群臣，中允李明睿疏言南遷便，給事中光時亨以倡言泄密糾之。
HCH_012_265_000294	帝曰：「國君死社稷，正也，朕誌定矣。」
HCH_012_265_000295	遂罷邦華策不議。
HCH_012_265_000296	未幾，賊逼都城，亟詣內閣言事。
HCH_012_265_000297	魏藻德漫應曰：「姑待之。」
HCH_012_265_000298	邦華太息而出。
HCH_012_265_000299	已，率諸御史登城，群奄拒之不得上。
HCH_012_265_000300	十八日，外城陷，走宿文信國祠。
HCH_012_265_000301	明日，內城亦陷，乃三揖信國曰：「邦華死國難，請從先生於九京矣。」
HCH_012_265_000302	為詩曰：「堂堂丈夫兮聖賢為徒，忠孝大節兮誓死靡渝，臨危授命兮吾無愧吾。」
HCH_012_265_000303	遂投繯而絕。
HCH_012_265_000304	贈太保、吏部尚書，謚忠文。
HCH_012_265_000305	本朝賜謚忠肅。
HCH_012_265_000306	王家彥，字開美，莆田人。
HCH_012_265_000307	天啟二年進士。
HCH_012_265_000308	授開化知縣，調蘭溪。
HCH_012_265_000309	擢刑科給事中，彈擊權貴無所避。
HCH_012_265_000310	崇禎四年，請釋大學士錢龍錫於獄，龍錫得減死。
HCH_012_265_000311	請推行按月奏報例於四方，獄囚得無久淹。
HCH_012_265_000312	閩海盜劉香擾郡邑，撫鎮追剿多失利，朝議召募，將大舉。
HCH_012_265_000313	家彥言：「舊制，衛所軍餼於官，無別兵亦無別將，統於各衛之指揮。寨設號船，聊絡呼應，又添設遊擊等官，雖支洋窮港，戈船相望。臣愚以今日策防海，莫若復舊制，勤訓練。練則衛所軍皆勁卒，不練雖添設召募兵，猶驅市人而戰之，糜餉擾民無益，賊終不能盡。」
HCH_012_265_000314	時以為名言。
HCH_012_265_000315	奉命巡青，所條奏多議行。
HCH_012_265_000316	先是，隆慶間太僕種馬額存十二萬五千，邊馬至二十六萬。
HCH_012_265_000317	言者以民間最苦養馬，所納馬又不足用，議馬征銀十兩，加草料銀二兩，歲可得銀百四十四萬兩。
HCH_012_265_000318	中樞楊博持不可，詔折其半，而馬政始變。
HCH_012_265_000319	萬歷九年議盡行改折，南寺歲征銀二十二萬，北寺五十一萬，銀入冏寺而馬政日弛。
HCH_012_265_000320	家彥極陳其弊，請改國初種馬及西番茶馬之制。
HCH_012_265_000321	又班軍舊額十六萬，後減至七萬，至是止二萬有奇，更有建議盡征行糧、月糧，免其番上者。
HCH_012_265_000322	家彥時巡京營，力陳不可，且請免其工役，盡歸行伍。
HCH_012_265_000323	帝皆褒納其言。
HCH_012_265_000324	遵化鐵冶久廢，奸民請開之，家彥言有害無利。
HCH_012_265_000325	復有請開開化雲霧山以興屯者，亦以家彥言而止。
HCH_012_265_000326	屢遷戶科都給事中。
HCH_012_265_000327	軍興餉詘，總督盧象升有因糧加餉之議，戶部尚書侯恂請於未被寇之地，士大夫家賦銀兩者，加二錢；民間五兩以上者，兩加一錢。
HCH_012_265_000328	家彥言：「民賦五兩上者，率百十家成一戶，非富民，不可以朘削。」
