HCH_010_053_000326	歲時雜儀：正旦，國俗以糯飯和白羊髓為餅，丸之若拳，每帳賜四十九枚。
HCH_010_053_000327	戊夜，各於帳內窗中擲丸於外。
HCH_010_053_000328	數偶，動樂，飲宴。
HCH_010_053_000329	數奇，令巫十有二人鳴鈴，執箭，繞帳歌呼，帳內爆鹽壚中，燒地拍鼠，謂之驚鬼，居七日乃出。
HCH_010_053_000330	國語謂正旦為「乃捏咿唲」。
HCH_010_053_000331	「乃」，正也；捏咿唲，旦也。
HCH_010_053_000332	立春，婦人進春書，刻青繒為幟，像龍禦之；或為蟾蜍，書幟曰「宜春」。
HCH_010_053_000333	人日，凡正月之日，一雞、二狗、三豕、四羊，五馬、六牛，七日為人。
HCH_010_053_000334	其占，晴為祥，陰為災。
HCH_010_053_000335	俗煎餅食於庭中，謂之「薰天」。
HCH_010_053_000336	二月一日為中和節，國舅族蕭氏設宴，以延國族耶律氏，歲以為常。
HCH_010_053_000337	國語是日為「𢘉裏叵」，「𢘉裏」，請也；「叵」，時也。
HCH_010_053_000338	𢘉，讀若狎；叵，讀若頗。
HCH_010_053_000339	二月八日為悉達太子生辰，京府及諸州雕木為像，儀仗百戲導從，循城為樂。
HCH_010_053_000340	悉達太子者，西域凈梵王子，姓瞿曇氏，名釋迦牟尼。
HCH_010_053_000341	以其覺性，稱之曰「佛」。
HCH_010_053_000342	三月三日為上巳，國俗，刻木為兔，分朋走馬射之。
HCH_010_053_000343	先中者勝，負朋下馬列跪進酒，勝朋馬上飲之。
HCH_010_053_000344	國語謂是日為「陶裏樺」。
HCH_010_053_000345	「陶裏」，兔也；「樺」射也。
HCH_010_053_000346	五月重五日，午時，采艾葉和綿著衣，七事以奉天子，北南臣僚各賜三事，君臣宴樂，渤海膳夫進艾騣。
HCH_010_053_000347	以五彩絲為索纏臂，謂之「合歡結」。
HCH_010_053_000348	又以彩絲宛轉為人形簪之，謂之「長命縷」。
HCH_010_053_000349	國語謂是日為「討賽咿兒」。
HCH_010_053_000350	「討」五；「賽咿兒」，月也。
HCH_010_053_000351	夏至之日，俗謂之「朝節」。
HCH_010_053_000352	婦人進彩扇，以粉脂囊相贈遺。
HCH_010_053_000353	六月十有八日，國俗，耶律氏設宴，以延國舅族蕭氏，亦謂之「𢘉裏叵」
HCH_010_053_000354	七月十三日，夜，天子於宮西三十里卓帳宿焉。
HCH_010_053_000355	前期，備酒饌。
HCH_010_053_000356	翼日，諸軍部落從者皆動蕃樂，飲宴至暮，乃歸行宮，謂之「迎節」。
HCH_010_053_000357	十五日中元，動漢樂，大宴。
HCH_010_053_000358	十六日昧爽，復往西方，隨行諸軍部落大噪三，謂之「送節」。
HCH_010_053_000359	國語謂之「賽咿兒奢」。
HCH_010_053_000360	「奢」，好也。
HCH_010_053_000361	八月八日，國俗，屠白犬，於寢帳前七步瘞之，露其喙。
HCH_010_053_000362	後七日中秋，移寢帳於其上。
HCH_010_053_000363	國語謂之「捏褐耐」。
HCH_010_053_000364	「捏褐」，犬也；「耐」，首也。
HCH_010_053_000365	九月重九日，天子率群臣部族射虎，少者為負，罰重九宴。
HCH_010_053_000366	射畢，擇高地卓帳，賜蕃、漢臣僚飲菊花酒。
HCH_010_053_000367	兔肝為臡，鹿舌為醬，又研茱萸酒，灑門戶以禬禳。
HCH_010_053_000368	國語謂是日為「必裏遲離」，九月九日也。
