HCH_012_002_000367	六月丁巳，詔臣民言事者，實封達御前。
HCH_012_002_000368	丙寅，命政事啟皇太子裁決奏聞。
HCH_012_002_000369	秋七月甲申，置通政司。
HCH_012_002_000370	是月，始遣御史巡按州縣。
HCH_012_002_000371	八月庚戌，改建大祀殿於南郊。
HCH_012_002_000372	癸丑，選武臣子弟讀書國子監。
HCH_012_002_000373	九月丙申，振紹興、金華、衢州水災。
HCH_012_002_000374	辛丑，胡惟庸為左丞相，汪廣洋為右丞相。
HCH_012_002_000375	冬十月戊午，封沐英西平侯。
HCH_012_002_000376	辛酉，賜百官公田。
HCH_012_002_000377	十一月癸未，衞國公鄧愈卒。
HCH_012_002_000378	丁亥，合祀天地於奉天殿。
HCH_012_002_000379	是月，免河南、陝西、廣東、湖廣田租。
HCH_012_002_000380	威茂蠻叛，御史大夫丁玉為平羌將軍，討平之。
HCH_012_002_000381	十二月乙巳朔，日有食之。
